Project_Name,Slither,Mythril,Oyente,Final_Label
Callisto_Network-Fantom Token (FTM) Security Audit Report,Safe,Safe,Safe,Safe
Chainsecurity-Primitive Finance  Core engine smart contracts,Vulnerable,Vulnerable,Safe,Vulnerable
Coinfabrik-Smart Contract Audit REAL Estate Crypto Token,Safe,Safe,Safe,Safe
DAppSCAN_Ackee_Blockchain-GoodGhosting,Vulnerable,Safe,Safe,Vulnerable
DAppSCAN_Ackee_Blockchain-Layer_Zero,Vulnerable,Safe,Safe,Vulnerable
DAppSCAN_Ackee_Blockchain-Zunami_protocol,Vulnerable,Safe,Safe,Vulnerable
DAppSCAN_BlockSec-blocksec_aloe_1.1_signed,Vulnerable,Safe,Safe,Vulnerable
SmartBugs_0x97a5198b310ba58fe5d96b5f0421a9f1b4e772ca.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0x97ded97c7b5e84cb59dfb97be5e83f6c012f75ed.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0x985063dc56d133b2d2ad9bada8978d8c5adfc5c4.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0x987f0b4407e5558699a9b8fc4dda23ff927689ee.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0x990d2fe6b2c7b6c3b9d19a34ac1b3942efe04c70.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0x99747bc3ab2b21f86ab9e4482b4c37a89cba7946.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0x998da4576ee3ba70369067db62e52ad80dedf84d.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0x99a650192e81772657c7dc047d2e18f67c758e94.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0x99d7d871077f876fea4109c28ec81d660f485777.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0x9b455700c8540d350a58008a8ac650e75649fb6e.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0x9beec9834c1bb97597663c6415795bb4621aa8c4.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0x9bfa7775e106e9a07cae4f8963e2603d732bface.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0x9c06d37cf351617ee38ef52ff1fa26a774feab8d.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0x9db12d5a4e5512d357caec1c10cdfcf6ad206573.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0x9e75153a78f1f61fe2e87d7ecdf9eb2aab01a3aa.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xa042a3079a45ca1fb586b8307bcab9b8f8a85b27.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xa0562477af9d02c20e9e94280d50022c350ca0a2.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xa13f0743951b4f6e3e3aa039f682e17279f52bc3.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xa154beda4b9170f323479564decd227df4079c42.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xa25b95d508fc319288f16b6b82318d730fda6e2f.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xa2789e4009576779eb267ce416ef9cf5fb18042e.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xa27d89cdb5277878b1138ea034735fd7d9748316.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xa2ab00af6db85de947c1f2130026da8363ed9e3a.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xa400642b78a23b14612dddee83fdc70242c5cd83.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xa46a7ceaff0178cb68479709a39b69f0dc0a00c1.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xa48e591eb51c905fb60767f230d6ba02cb97b241.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xa51df722c982d79ef4120a4618ed25115d2eae7c.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xa60fe9c4fe222f20d66e6cfab2eafaee9fbe16da.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xa61c86eea36c9ebe51b70c4a77ecbce0a6078d02.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xa62952e46b112226ac94e4943eb61f14fb5e62ef.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xa6e1cc1ba7674c05f3e2d190ff5eda0d0472de04.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xa6ffb8c3ea6da2e1c44edf0d27e8323701b400f6.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xa799ab15785e3b707eb4b7af05f7eda291468ce6.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xa7c5c9e2fef1c447e962a9eb3d1fc5012dfaa68e.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xa7e310d88af74c96b5c1bba8d23caae183ee123a.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xa8f876e68c84d783fc28a75b9309eb51872a347c.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xa8f9ba662a4de7290071232ac2439bdeaa1fc5fb.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xa918185d042016e2d87c5cb0c7d216b062f79559.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xa9f0e095f6a9b082b678895cb039e57bdde22145.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xaa0d8d61ad4a598da41b1c9fba3ecaed69023823.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xaa746780d844379ae5ef9f9f7daceb59ba6fde57.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xaa82f3f0ff5026aba2224a95a5f493ac4074bc06.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xaa96eb375e3b87b01a82bb26e0c7faeab444966d.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xaad54c9f27b876d2538455dda69207279ff673a5.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xabfe059e98b75b9293b341d461dad649fef25cf9.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xac851fd3c969f24acb688abba158703279fe6856.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xacc4f39866cf8e9fd5f011378f64e566d7933522.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xad45f9a27a1f9fb19bfa6d2c877c4133fe95ee0f.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xae08937ca38979d6c2fbac7bf7b8af8176ab9065.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xae45fd94bc857d2b9db8078c539e49c5d0e360f5.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xae66d00496aaa25418f829140bb259163c06986e.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xca486a65e482a00c0c4f16a53f9a8c0de6129343.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xcaa6cc25bbfd43e7a0466c1fb6ff3f8866a059ea.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xcb07e517e3a113d5c724ad042ce6ad1d2a0a530f.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xcbdfad49dad16a992978f2767506a0f3f11ae9c7.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xcc7354764426615d8f4d3567167273f0648144d9.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xccaf7b08a3af4a5ccb7226c7bcdde917764e2d13.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xccb8bb39162208264d3413ffcc89495a3c090c39.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xcd09c3dd11c8bb826432f14db7cd7618abc686b4.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xcd6c085dfcf28fe5873f35681e41d92402e08694.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xce05254ae8a1195afa33140f02d63f9fa0c2462c.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xcf0d50037931cf1b2a31c6933b1559f0fba66281.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xd0c3135cff83aa5a5824ed5ffbc1ae35f5d424e5.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xd10399746b72a23662f8ba010f951b002dc45cfe.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xd182de27e34404916f9670d8fa05c0c0b5bce497.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xd1e1492601eebd6ebc34ea9a19bae7e5fc79f593.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xd1fd1fe54ceeca913c88d661b46fe9beb083ea0f.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xd2adaf0260581824b2b93f6a51862e33852f1d31.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xd2bbc9ee3ab15bfe523e1f2a31f2767a40413d2d.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xd2d6afd9fc09838b46048e531360313469e37468.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xd35833f9255fb28cc6b91acb8a66ba6429d6ef5a.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xd389c08bb987dd7daeb31f51fce1b5b73710b38e.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xd3cf3b612bd696ce7204118efe88560295fd6797.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xd4220a1edbafffec715505975d55d6599d1c244c.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xd4236a5b05aafadb21a3e657f6818ad9f20699ae.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xd4270e7271560265fe7dfc5d192c5513fc0bf7a3.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xd4737858dd8eb9842cd0696171b781525b56086f.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xd5bae616505430595ee28b9e0e092dc298ab1b19.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xd64794250393f825e57e0ffccd3c75cad4564be3.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xd6cd31f283d24cfb442cba1bcf42290c07c15792.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xd7bef22678fb7fc7a80c20c112cd08ff9469ddfa.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xd7dbe6f13b002ebed312f7ffb6164475426bdd96.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xd803d7597bd638998be368af196dc2c53caf5b63.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xd81618af297e56de2589b5fa9d0714423ea775ee.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xd8ef149b4e1e8f050d52925f9c68d3a296e77227.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xd938959d215d84b668d39848785d76d298466f19.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xdb2b3db44820526e7472dea06506b2e40506b3b9.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xdb7697552858fd9eb8d522235a3f5e987a431d1d.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xdbb087d9d1d9b6744c8aedd6b134bbb6726e816b.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xdbf2da30cdb8b03d46752d320ed1415a56b83abb.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xdc12a8e62a778d0732e3f4b522a733504ee2d369.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xdcfe093673d7c057efaa31f0eaa9db525c8d077e.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xdd19e9e939df9dad7bc96c6dd39380060295ab05.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xdd6dea8ad5f81fd08ee7dec4287038c991475aaf.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xde6865070641f09e933ce498ed29a80524710db4.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xde90cd8df39688d32c9a423578a4fb9f3e83b05c.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xdf1f581d348aa8caeebdb5f3c7235b4ad9ab648f.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xdfbd6a960a55bcfcf59d5925351e05a51498bcef.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xe1daa0f4aff7ecc1af0917a882a537a8db31c74d.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xe1e91a68dc8f0b888c462cc3f055e4d4f582552f.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xe2c43d2c6d6875c8f24855054d77b5664c7e810f.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xe2f3486ec3f0148b50be64c4b649175e561813b4.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xe30a76ec9168639f09061e602924ae601d341066.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xe4928e226d30728c42c93d6ea37872326cc32f04.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xe59d57b3dbbaf62870374ad0053719b361a2cd49.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xe5c77304ac2d7fb6bb3ee5ae15133446197e68c8.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xe61efc18cfe43481ac53ca298abbc15acc4608f6.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xe6267a9c0a227d21c95b782b1bd32bb41fc3b43b.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xe6ff2834b6cf56dc23282a5444b297faccca1b28.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xe716209f5d62efa8ca4cacdda1284bfff8df9e42.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xe7575fa30bded72ffbf7c5cce3972d1a3817bd66.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xe789597c63214db414f1fcdee02630237b711aab.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xe7e851ac612a91667ec4bcf7f90521d48a6a5db5.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xe94af4c7a2ea529790b84fd4168745aa1336e30b.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xea4931bfcf3260da6dbf0550e27f5c214e3c268b.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xea8c9db193996bbc3f6a9afbdbea2b3b62c11253.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xeab986049bb33743d23dac2adeb525c6cb98a176.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xeb37bacff453649457d8f22c44e98a020bb5406e.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xeb96f4caaea05e69f41c25ae42b58ffff7df628d.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xebe7d83b89670baa27e343c1f40b7bfcdfe28966.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xec9405f15cb1239a751148f7e5ab2895df15ccc5.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xed00a2cba066714999ec703350e0a5b6b7ab66cb.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xed3e73c01028eab954784aa5aedc97cbe2807dbb.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xed74fe86406331d2fab6925be7d417c508c51322.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xf01f9599c651d3eb3da0d5440358033a274a06f2.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xf03045a4c8077e38f3b8e2ed33b8aee69edf869f.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xf037c7d756ec6e318d814c9ca484c71f9a3674ea.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xf04605be6f8cbf23d66533da283c816534686f80.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xf0cfb6e33af9a0bbf70b37662c0f5b3c7483b16d.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xf2956001f8cf0ff7ec7742a32f2040c81c65d4f2.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xf2a95300326adf582a43b63218742e4528f82b01.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xf34d3d8a0862ddf72a3faabba2eee95b538b54e4.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xf3a88200de35c6f935562e66844707999b77dd38.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xf4555ccf9f069366b0a9b847e4f23f978cfe74c0.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xf45e96d47a4df13c7dfa154607f24943e6ffd3bf.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xf48ffa222a33e7c6bed217acd27a68d3509b7e9d.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xf4bcd34d969d11d9a421939ae84c86176f7f6995.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xf4be3da9df0c12e69115bb5614334786fbaf5ace.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xf518348e86027bd203b56fb913d6bb1502533f05.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xf51e826a2deb6e32bda3127a4d83d2ec2e5cf67a.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xf6e45ca963656338bb8260a8bfa55d1bca37d26c.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xf6f6afe1907ffe9467b04947c7e3af9ad14e2333.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xf7bb0e7ee82caa529bfe6bcc356268c92c264596.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xf82eb93feaa4deaa72c561fb67d845d81b7eaeb7.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xf8670a791e547184ac9833799bb4de9de8670d84.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xf8d4ea0b15f8118a8a33d4404988c330e9db39fd.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xf8dfac6cae56736fd2a05e45108490c6cb40147d.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xf8eb1928b7b247e5ab607785afe869d7daf78a6f.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xfa1a856cfa3409cfa145fa4e20eb270df3eb21ab.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xfa5847908fa0e1a9b88f5f267783f8b31cfdec7b.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xfa79d79f9f427d4ea2df5b418c7e12f3d713c131.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xfaaad14ff8d00e28959094dd8cf90b6dcd7f5a3e.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xfbdb4f34608da96196a0eaebb72e7c13dc2c8058.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xfc0da7b2db63e819552f43abf3835f41df49d3f2.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xfd1f40e0af44f8dbf1f07c12164dbace0b0f32d4.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xfe55d20bc9abd995ce965b1d082d10f6f1f057eb.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xfefe4f85b56d7ec3d731896b1589b0881ac07e0b.sol,Single File,Safe,Safe,Safe,Safe
SmartBugs_0xff5c25d2f40b47c4a37f989de933e26562ef0ac0.sol,Single File,Safe,Safe,Safe,Safe
SolidiFI_Overflow-Underflow,Folder,Safe,Safe,Safe,Safe
SolidiFI_Re-entrancy,Folder,Safe,Safe,Safe,Safe
SolidiFI_TOD,Folder,Safe,Safe,Safe,Safe
SolidiFI_Timestamp-Dependency,Folder,Safe,Safe,Safe,Safe
SolidiFI_Unchecked-Send,Folder,Safe,Safe,Safe,Safe
SolidiFI_Unhandled-Exceptions,Folder,Safe,Safe,Safe,Safe
SolidiFI_tx.origin,Folder,Safe,Safe,Safe,Safe
